address,"latitude, longitude"

"4250 Cambridge Rd, Fort Worth, Texas, 76155","(32.825699012179726, -97.04313499715325)"
"Randol Mill Road, Fort Worth, Tarrant County, Texas, 76012, United States of America","(32.7685682, -97.1688072)"
"9001, Randol Mill Road, Fort Worth, Tarrant County, Texas, 76012, United States of America","(32.7596619, -97.1571765632506)"
"4000 Old Mansfield Rd, Fort Worth, Texas, 76119","(32.7063769635493, -97.29816745175995)"
"Azle Avenue, Fort Worth, Tarrant County, Texas, 76135, United States of America","(32.7918469, -97.370838)"
"3233, Altamere Drive, Fort Worth, Tarrant County, Texas, 76116, United States of America","(32.72390905, -97.440072718848)"
"Texas Street, Fort Worth, Tarrant County, Texas, 76102, United States of America","(32.7489197, -97.3365721)"
"9000, Blue Mound Road, Fort Worth, Tarrant County, Texas, 76131, United States of America","(32.901411, -97.347970901306)"
"Eagle Parkway, Denton County, Texas, 76177, United States of America","(33.007447, -97.306457)"
"3233 Alta Mere Dr, Fort Worth, Texas, 76116","(32.72391198795471, -97.44007301397625)"
"5400 Lea Crest Ln, Fort Worth, Texas, 76135","(32.831107356775014, -97.42088259935619)"
"South Freeway, Fort Worth, Tarrant County, Texas, 76115, United States of America","(32.667586, -97.322597)"
"3201, Hemphill Street, Fort Worth, Tarrant County, Texas, 76134, United States of America","(32.7037879, -97.3313729887811)"
"University Drive, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.7564121, -97.3611955)"
"North Caylor Road, Fort Worth, Tarrant County, Texas, 76248, United States of America","(32.96023, -97.2710884)"
"3101 Forest Ave, Fort Worth, Texas, 76112","(32.73424201306619, -97.2186139958066)"
"4100 Old Mansfield Rd, Fort Worth, Texas, 76119","(32.70462393813217, -97.29758880913543)"
"McCart Avenue, Fort Worth, Tarrant County, Texas, 76134, United States of America","(32.667764, -97.355986)"
"Fire Station Number 24, 4849, Wilbarger Street, Fort Worth, Tarrant County, Texas, 76119, United States of America","(32.6992026, -97.2514036)"
"100 Paint Pony Trl N, Fort Worth, Texas, 76108","(32.760315012540815, -97.50039698439669)"
"10201 White Settlement Rd, Fort Worth, Texas, 76108","(32.75953901594484, -97.5011960312264)"
"Brentwood Stair Road, Fort Worth, Tarrant County, Texas, 76103, United States of America","(32.7581253, -97.2563278)"
"Ray White Road, Fort Worth, Tarrant County, Texas, 76248, United States of America","(32.9041819, -97.2725898)"
"Southwest Loop 820, Fort Worth, Tarrant County, Texas, 76134, United States of America","(32.666502, -97.350249)"
"301, South Sylvania Avenue, Fort Worth, Tarrant County, Texas, 76111, United States of America","(32.7630377, -97.3087258)"
"8525 N Beach St, Keller, Texas, 76244","(32.89383258102394, -97.2898146492071)"
"6232, North Ridge Road, Fort Worth, Tarrant County, Texas, 76135, United States of America","(32.8313624, -97.4205973260605)"
"South Freeway, Fort Worth, Tarrant County, Texas, 76115, United States of America","(32.667586, -97.322597)"
"Oakmont Boulevard, Fort Worth, Tarrant County, Texas, 76132, United States of America","(32.6666171, -97.4252442)"
"Chase Bank, 4425, North Tarrant Parkway, Fort Worth, Tarrant County, Texas, 76137, United States of America","(32.89478955, -97.2903126500308)"
"899 Basset Locke Dr, Fort Worth, Texas, 76108","(32.75499598251423, -97.51912802342285)"
