address,"latitude, longitude"

"4816, Birchman Avenue, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.7352436, -97.3921287761093)"
"7383, South Hulen Street, Fort Worth, Tarrant County, Texas, 76133, United States of America","(32.63684865, -97.3929142536707)"
"5524, Diaz Avenue, Como, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.72756225, -97.4054856846545)"
"5533, Helmick Avenue, Como, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.71666935, -97.4059521204029)"
"1925 Fairmount Ave, Fort Worth, Texas, 76110","(32.7230810060739, -97.34102398033302)"
"3413 Forest Creek Dr, Fort Worth, Texas, 76123","(32.63102000701754, -97.36933302011775)"
"2605 Country Creek Ln, Fort Worth, Texas, 76123","(32.62750798958703, -97.35960598912072)"
"2126, Stanley Avenue, Fort Worth, Tarrant County, Texas, 76110, United States of America","(32.72092415, -97.3465474734466)"
"3916, Avenue N, Fort Worth, Tarrant County, Texas, 76105, United States of America","(32.72315345, -97.2665377663779)"
"5216, Helmick Avenue, Como, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.71706935, -97.3999212937342)"
"7513 Los Padres Trl, Fort Worth, Texas, 76137","(32.87566198635645, -97.2736420283437)"
"3209 College Ave, Fort Worth, Texas, 76110","(32.70369399930523, -97.33519302556999)"
"3733 Fairhaven Dr, Fort Worth, Texas, 76123","(32.62530698563219, -97.3735369636554)"
"5139, Fletcher Avenue, Como, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.72414995, -97.3985451447224)"
"1803 N Sylvania Ave, Fort Worth, Texas, 76111","(32.78669101781523, -97.30903503359716)"
"7462 Point Reyes Dr, Fort Worth, Texas, 76137","(32.874368993972595, -97.27147002577385)"
"1014, Woodland Avenue, Fort Worth, Tarrant County, Texas, 76110, United States of America","(32.69985695, -97.3355827252796)"
"3416, West Biddison Street, Fort Worth, Tarrant County, Texas, 76109, United States of America","(32.6986146, -97.3660846837925)"
"3208, Waits Avenue, Fort Worth, Tarrant County, Texas, 76109, United States of America","(32.70368565, -97.3575789305369)"
"3200, Waits Avenue, Fort Worth, Tarrant County, Texas, 76109, United States of America","(32.70398985, -97.3575474204221)"
"2554 Country Creek Ln, Fort Worth, Texas, 76123","(32.62776457207619, -97.3585557794901)"
"3901, Lafayette Avenue, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.74129065, -97.3754203661735)"
"3620 Clearbrook Dr, Fort Worth, Texas, 76123","(32.61787999077602, -97.37403300468532)"
"2005 Fairmount Ave, Fort Worth, Texas, 76110","(32.72195301145406, -97.341081983103)"
"3704 Fairhaven Dr, Fort Worth, Texas, 76123","(32.62643799773717, -97.37294997897602)"
"1705, Hurley Avenue, Fort Worth, Tarrant County, Texas, 76104, United States of America","(32.72631095, -97.34225485)"
"3737 Fairhaven Dr, Fort Worth, Texas, 76123","(32.62522199313399, -97.37371298362208)"
"4501, West Rosedale Street, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.7316896, -97.3869411404314)"
"Avondale, Tarrant County, Texas, 76052, United States of America","(32.9679029, -97.4205752)"
"7429 Los Padres Trl, Fort Worth, Texas, 76137","(32.873819979314604, -97.27508497297535)"
"4501, West Rosedale Street, Fort Worth, Tarrant County, Texas, 76107, United States of America","(32.7316896, -97.3869411404314)"
