address,"latitude, longitude"

"Charity Dr, Sylmar, California, 91342","(34.328239752543595, -118.43022667966532)"
"73 Southern Cir, Watsonville, California, 95076","(36.9156261484623, -121.7618642885505)"
"Latham Street, Nevin, Florence, LA, Los Angeles County, California, 90011, United States of America","(33.9948529, -118.2513985)"
"40 9th Pl, Long Beach, California, 90802","(33.76497749808469, -118.17423868510124)"
"Riverside Avenue, Huntington Park, Los Angeles County, California, 90255, United States of America","(33.9843564, -118.1938563)"
"Whipple St, North Hollywood, California, 91602","(34.14790002356651, -118.36253728949144)"
"Thornburn St, Los Angeles, California, 90045","(33.971295861642865, -118.37429255145587)"
"60 Dover Ln, Northridge, California, 91324","(34.23218715551069, -118.55036142918964)"
"Live Oak Street, San Gabriel, Los Angeles County, California, 91776, United States of America","(34.1019952, -118.0800866)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"Industrial Pkwy, Sacramento, California, 95824","(38.515433479742946, -121.40772310489413)"
"Dearborn St, Northridge, California, 91330","(34.23733002703513, -118.52453429710188)"
"18 Geneva Walk, Long Beach, California, 90803","(33.75308416799695, -118.12695798331772)"
"US Highway 111, Indian Wells, California, 92210","(33.72139002369782, -116.35560007424941)"
"Stovall Ave, Hacienda Heights, California, 91745","(34.0123205020181, -117.97335843497156)"
"Fillmore Ave, Ventura, California, 93001","(34.36400003003143, -119.44770988982529)"
"4379 CA-116, Sebastopol, California, 95472","(38.449841321860895, -122.86764661651242)"
"Washington Street, Diamond Bar, Los Angeles County, California, 91765, United States of America","(34.0065789, -117.843027)"
"6 Kansas St, El Segundo, California, 90245","(33.91644735145018, -118.400462622207)"
"Main Street, Newhall, Santa Clarita, Los Angeles County, California, 91321, United States of America","(34.379711, -118.5286629)"
"13 Stanbridge Ln, Alameda, California, 94502","(37.74555269367755, -122.24924616231436)"
"Sheridan Road, Val Verde, Los Angeles County, California, 91383, United States of America","(34.4497394, -118.6619332)"
"617 36th St, Manhattan Beach, California, 90266","(33.90103399003904, -118.40902604088608)"
"South Main Street, Fashion District, Saint James Park, LA, Los Angeles County, California, 90015, United States of America","(34.0345436, -118.2618203)"
"3 W Railway St, San Dimas, California, 91773","(34.10506082465263, -117.80780910371148)"
"Dodge Ave, Harbor City, California, 90710","(33.79248016858691, -118.28897814679284)"
"Courthouse Sq, Universal City, California, 91608","(34.140869825920575, -118.34999018841744)"
"759 Eldora Rd, Pasadena, California, 91104","(34.1649489231465, -118.13714949299153)"
"North Highland Avenue, Hollywood, LA, Los Angeles County, California, 90028, United States of America","(34.0969561, -118.3386711)"
"Pennsylvania Avenue, Santa Monica, Los Angeles County, California, 90404, United States of America","(34.0251238, -118.4741114)"
"3rd Avenue, Van Ness, Leimert Park, LA, Los Angeles County, California, 90043, United States of America","(33.9781965, -118.3206785)"
"Michigan Avenue, Brooklyn Heights, Little Tokyo Historic District, LA, Los Angeles County, California, 90033, United States of America","(34.0500061, -118.2199908)"
"Dequine Ave, Rosemead, California, 91770","(34.06172003950199, -118.1069852611261)"
"West Grand Avenue, Edison Historic District, Pomona, Los Angeles County, California, 91766, United States of America","(34.0475753, -117.7606876)"
"2140 S Diamond Bar Blvd, Diamond Bar, California, 91765","(33.986025578352006, -117.82543413570201)"
"Tarrytown Ln, Agoura Hills, California, 91301","(34.13266962796694, -118.72465382722673)"
"Benton Ln, Los Angeles, California, 90026","(34.08003504345195, -118.27060993214633)"
"Church Street, Highland Park, LA, Los Angeles County, California, 91030, United States of America","(34.1258878, -118.1690399)"
"22 E Spruce St, Compton, California, 90220","(33.90255207428944, -118.22444984009836)"
"18 Coronado Ave, Long Beach, California, 90803","(33.762117020675035, -118.15397503699828)"
"Los Angeles, California","(34.05361000000005, -118.24549999999999)"
"College Avenue, Pomona, Los Angeles County, California, 91767, United States of America","(34.0777516, -117.7148721)"
"W Barstow Ave, Fresno, California, 93723","(36.814995991233246, -119.97505988949534)"
"Littleriver Ln, Cerritos, California, 90703","(33.88116555051173, -118.06776757468228)"
"Raritan Dr, Whittier, California, 90604","(33.925997577044285, -118.01783963996175)"
"1610 14th St, Santa Monica, California, 90404","(34.0211019088688, -118.4823393002636)"
